ZTF19aayqait 0.069000 Ia
58678.2451736 2 19.5921 0.157569
58674.3082176 2 19.6165 0.16989
58674.3068287 2 19.5167 0.130749
58668.351956 2 19.321 0.119037
58665.4273727 2 19.3085 0.112453
58665.3430208 2 19.1537 0.0938205
58663.3497454 2 19.2421 0.0953038
58663.3488426 2 19.2261 0.105052
58662.3294097 2 19.1096 0.0935041
58662.3289468 2 19.1167 0.112342
58661.3502199 2 19.1149 0.107931
58661.3488426 2 18.9801 0.0921435
58660.3322917 2 18.8186 0.0906153
58660.3318287 2 18.9044 0.089797
58658.3906366 2 18.7742 0.108501
58657.3938079 2 18.7546 0.0964354
58655.3379745 2 18.6463 0.107846
58655.3375116 2 18.7675 0.117874
58654.3818171 2 18.6709 0.110725
58654.3628125 2 18.6048 0.119256
58653.4564583 2 18.698 0.142643
58653.4247685 2 18.7045 0.0973686
58650.3515278 2 18.8413 0.16087
58650.326875 2 18.6961 0.095286
58647.3268403 2 18.9893 0.110056
58647.2960301 2 19.1116 0.155267
58644.4651968 2 19.5485 0.143485
58644.3256366 2 19.6036 0.183062
