ZTF19ababmsi 0.060000 Ia
58733.4644907 1 20.9762 0.303745
58724.4401968 1 20.7928 0.29713
58706.4661806 1 20.463 0.223606
58703.4773843 1 20.3268 0.195111
58700.5021065 1 20.1451 0.282597
58700.4629861 1 20.3589 0.165319
58697.4881366 1 20.1518 0.176826
58697.4652546 1 20.3226 0.20042
58694.4753704 1 19.987 0.145699
58691.4710532 1 19.8369 0.171462
58688.4884722 1 19.6949 0.210325
58688.4787037 1 19.6085 0.171472
58682.4893403 1 19.2092 0.206684
58679.4581366 1 18.7867 0.111278
58676.4370255 1 18.5874 0.0851966
58673.4715278 1 18.302 0.0658531
58670.4537731 1 18.1338 0.0671045
58667.4467477 1 17.9259 0.0634665
58660.4479398 1 17.9022 0.0866319
58655.473912 1 18.0494 0.136302
