ZTF19abasxkg 0.038000 Ia
58706.4522685 1 19.6478 0.157459
58703.4754745 1 19.6397 0.136683
58700.4681713 1 19.5755 0.148148
58697.4977083 1 19.2917 0.147016
58697.4700694 1 19.2921 0.126252
58694.4488542 1 19.0813 0.103733
58691.4668981 1 18.8034 0.0895533
58688.4930324 1 18.4014 0.067866
58688.4722685 1 18.3951 0.097058
58684.4252546 1 18.0022 0.0783291
58681.4876042 1 17.5758 0.0533073
58678.4461921 1 17.3122 0.0580458
58675.456794 1 17.126 0.0384112
58672.4342477 1 16.9643 0.0459566
58669.4671644 1 16.8505 0.0512936
58661.4699769 1 17.2758 0.0442138
58658.4709259 1 17.8263 0.0787787
