ZTF19abatvzs 0.025000 II
58734.2787963 1 19.8154 0.201532
58733.2775231 1 20.0089 0.232499
58732.2779282 1 19.9684 0.137288
58730.2793866 1 19.6178 0.153846
58727.3032639 1 19.8254 0.179717
58726.2801968 1 19.6541 0.175714
58725.27875 1 19.8254 0.155081
58724.3036343 1 19.8044 0.153075
58723.303588 1 19.7748 0.185996
58722.2803356 1 19.7903 0.156879
58720.300625 1 19.6971 0.162779
58719.2810648 1 19.7964 0.177853
58718.3014699 1 19.6792 0.159064
58717.2804167 1 19.7106 0.174388
58716.3009606 1 19.6716 0.215512
58715.2804861 1 19.7347 0.245779
58714.1962269 1 19.5636 0.193073
58713.2044329 1 18.7212 0.415968
58708.442037 1 19.6165 0.185798
58705.4161458 1 19.6868 0.129555
58699.4282292 1 19.4707 0.119057
58696.4176042 1 19.4426 0.110779
58693.3249421 1 19.386 0.104325
58690.3036458 1 19.2277 0.103887
58686.4645023 1 19.1622 0.103744
58680.462963 1 19.0297 0.13143
58668.447338 1 18.5845 0.0643796
58665.4788657 1 18.5175 0.0670252
58661.4783796 1 18.4763 0.11404
58658.4647106 1 19.2215 0.108118
