ZTF19abauylg 0.032000 Ic-BL
58725.1583333 1 19.6882 0.165676
58724.1873843 1 19.6879 0.144021
58718.1716204 1 19.6721 0.132424
58718.149456 1 19.5888 0.169481
58714.2188194 1 19.6134 0.150142
58714.1493287 1 19.4348 0.140359
58711.2378704 1 19.5169 0.205026
58708.1709606 1 19.4954 0.163885
58705.2630324 1 19.1088 0.1631
58705.262581 1 19.4306 0.163459
58698.1907986 1 19.2871 0.188707
58694.2287384 1 18.8792 0.0937533
58692.2177662 1 18.6956 0.0932931
58690.1900347 1 18.605 0.0905285
58685.2084954 1 18.1358 0.0583079
58684.2097801 1 18.0009 0.0706768
58675.3109954 1 17.0581 0.0434385
58675.2953241 1 17.0351 0.0456423
58672.299456 1 16.8439 0.0340284
58672.2990046 1 16.8557 0.0481328
58666.2304282 1 16.9211 0.0388417
58666.2109259 1 16.924 0.0556664
58663.2104514 1 17.2325 0.0406833
58660.2070602 1 18.8777 0.0900405
58660.2066088 1 18.8736 0.0840484
