ZTF19abauylg 0.032000 Ic-BL
58734.1255903 2 19.2139 0.190137
58725.2365972 2 19.3202 0.146207
58724.1670602 2 19.2141 0.116895
58718.1406713 2 19.1548 0.152829
58714.1462616 2 18.8471 0.106659
58711.2751042 2 18.7048 0.129294
58698.1734606 2 18.2619 0.105444
58698.1725579 2 18.2061 0.0699228
58695.2257755 2 18.0945 0.0679472
58694.1791898 2 17.9866 0.0546791
58692.1716319 2 17.7881 0.074177
58690.1875347 2 17.7339 0.0621635
58689.1702315 2 17.6403 0.0424069
58687.1646644 2 17.3536 0.296113
58685.3174537 2 17.3023 0.0442674
58684.1696759 2 17.2652 0.0478151
58682.2711574 2 17.1543 0.041295
58681.2705787 2 17.0949 0.0510857
58678.2109722 2 16.8851 0.0351812
58678.2095833 2 16.9307 0.0293358
58675.2462037 2 16.8203 0.0303888
58675.2319213 2 16.8257 0.0566951
58672.2098148 2 16.7106 0.0394153
58672.208912 2 16.6989 0.0380589
58669.3147222 2 16.7376 0.0528338
58669.3142708 2 16.7592 0.0493605
58666.2547917 2 16.8998 0.0403206
58666.2520255 2 16.8918 0.0485347
58663.3162616 2 17.2659 0.0439759
58663.3011574 2 17.2633 0.0423015
