ZTF19abbxykm 0.047000 II
58764.3352199 1 19.6921 0.185889
58763.1947106 1 19.9276 0.182108
58762.1933218 1 19.82 0.179344
58761.1941319 1 19.7408 0.16514
58760.1950926 1 19.7089 0.135541
58758.2107986 1 19.57 0.139964
58754.1938773 1 19.5569 0.128125
58751.1941667 1 19.3306 0.0971402
58750.1965394 1 19.3762 0.140367
58749.1962269 1 19.2613 0.113336
58748.1944329 1 19.3491 0.115902
58747.1955556 1 19.2109 0.104265
58745.1956481 1 19.154 0.100624
58744.1955208 1 19.0559 0.137123
58743.1965162 1 18.9252 0.126206
58742.1961921 1 18.6364 0.210846
58740.1990625 1 18.6972 0.153005
58739.199294 1 18.741 0.140658
58738.2002431 1 19.1992 0.356952
58737.4617824 1 18.9293 0.110423
58734.3942361 1 18.7904 0.107815
58730.3037384 1 18.6657 0.0825527
58726.4001273 1 18.5503 0.078141
58723.4146875 1 18.4206 0.0692865
58720.4021181 1 18.3333 0.0925563
58717.38 1 18.2667 0.0638861
58714.4724653 1 18.2323 0.073398
58708.4411343 1 18.0508 0.0635349
58705.4166435 1 17.9895 0.0594289
58699.4222685 1 17.9972 0.0584841
58696.4023148 1 17.9327 0.0517901
58693.4151389 1 17.9291 0.0493623
58690.4561111 1 17.8816 0.0527383
58686.4626505 1 17.898 0.0514041
58683.4610648 1 17.934 0.054103
58680.4615394 1 18.0118 0.0664756
58677.4443519 1 18.1456 0.0581981
58669.4832523 1 18.883 0.117392
58668.4482639 1 19.0177 0.0888357
58665.4766088 1 19.4054 0.117396
58661.4774537 1 20.0473 0.216551
58655.4649769 1 19.8908 0.364644
