ZTF19abcejsg 0.134000 II
58801.1897685 1 19.6161 0.280253
58794.1889352 1 19.9121 0.300449
58791.2738426 1 20.0185 0.204385
58785.2118171 1 19.9267 0.148854
58781.2138889 1 20.0395 0.221582
58763.3775347 1 19.8197 0.183096
58760.3523958 1 19.794 0.172346
58749.3204514 1 19.8194 0.169096
58743.3786806 1 19.181 0.234386
58733.4408333 1 19.7177 0.160535
58730.469919 1 19.7441 0.165396
58725.3761921 1 19.7608 0.120689
58722.416713 1 19.6392 0.0980814
58719.4834838 1 19.7341 0.254173
58706.4391782 1 19.4582 0.0993126
58699.4395486 1 19.5225 0.126692
58696.4324421 1 19.4057 0.107841
58693.4234954 1 19.3587 0.0987027
58690.4780324 1 19.3116 0.126914
58680.4591435 1 19.3742 0.171587
58673.4776389 1 19.2555 0.109371
58670.44125 1 19.3897 0.107584
58667.458125 1 19.2536 0.108813
58662.4433912 1 19.2179 0.107468
