ZTF19abcekty 0.011638 II
58875.0921181 2 19.3545 0.167006
58859.1498611 2 19.3418 0.16721
58853.1446181 2 19.1569 0.192768
58846.1079745 2 18.9812 0.0972081
58836.0904861 2 18.7618 0.115943
58833.0849653 2 18.7751 0.118804
58820.1250926 2 18.4641 0.0947261
58814.1701736 2 18.248 0.15149
58812.2270486 2 18.4112 0.0688526
58811.1480671 2 18.413 0.0895647
58805.2105208 2 18.299 0.0665212
58799.2098843 2 18.2498 0.0736834
58794.298287 2 18.1326 0.0707244
58791.3404167 2 18.119 0.0736244
58788.2509375 2 18.1407 0.0725154
58781.2921065 2 18.084 0.0926296
58777.2835995 2 17.9797 0.0551664
58774.2722338 2 17.9741 0.0656932
58771.2931481 2 17.8961 0.0879102
58760.2967477 2 17.861 0.0600037
58757.3233796 2 17.8802 0.0520304
58750.3140394 2 17.7805 0.0576767
58747.3996875 2 17.819 0.059764
58744.3798958 2 17.8193 0.067204
58739.3771412 2 17.7806 0.0470093
58736.4175347 2 17.6805 0.0517735
58733.3978472 2 17.6028 0.0418402
58730.4176852 2 17.4378 0.0591328
58726.3780093 2 17.1983 0.0355875
58723.3918171 2 17.0359 0.0435338
58720.3885995 2 16.8196 0.0276435
58717.4764236 2 16.7456 0.0311426
58712.3970023 2 16.6307 0.0383098
58709.4168056 2 16.5769 0.0316561
58703.4241088 2 16.5618 0.0282201
58699.4815394 2 16.4749 0.0358496
58696.4822106 2 16.497 0.0346515
58693.4801389 2 16.461 0.0346651
58690.4223611 2 16.4323 0.0329059
58683.4403704 2 16.3002 0.032267
58680.4373495 2 16.2685 0.0345781
58676.4887153 2 16.1999 0.0322844
58673.4480093 2 16.1762 0.0253739
58662.4646065 2 15.9123 0.0300779
