ZTF19abdyawn 0.041000 Ia
58760.1642361 2 20.4657 0.212647
58759.2070023 2 20.492 0.27458
58751.163206 2 19.9601 0.225166
58749.1652894 2 20.1045 0.268775
58748.1638079 2 19.9824 0.225012
58747.1646875 2 20.0937 0.178614
58746.1891319 2 19.982 0.221981
58745.1648148 2 19.9331 0.160025
58744.1640394 2 19.9489 0.210109
58743.1651042 2 19.7129 0.186679
58741.1646875 2 19.7752 0.23358
58740.164537 2 19.5654 0.231143
58739.1641204 2 19.7431 0.24856
58738.1652199 2 19.6701 0.186332
58736.4062847 2 19.7033 0.171276
58730.413206 2 19.4699 0.152042
58722.320625 2 19.0047 0.104238
58719.3310995 2 18.8332 0.139503
58715.3678356 2 18.6635 0.095139
58706.4157986 2 18.4155 0.0718083
58703.4126968 2 18.3316 0.0716347
58696.3825 2 18.0435 0.059674
58693.3615856 2 17.8674 0.0554909
58690.3699306 2 17.7624 0.0418241
58683.4037153 2 17.7985 0.051339
58677.2791782 2 18.1894 0.0810657
58676.4771412 2 18.3138 0.0669513
58674.4693287 2 18.7271 0.0936513
58672.4765162 2 19.1709 0.133903
58671.4274306 2 19.5129 0.121505
58670.3956481 2 19.8009 0.148261
58669.4261921 2 19.9477 0.140186
58668.3631713 2 20.2987 0.268541
