ZTF19abeloei 0.060000 Ia
58745.1521644 2 20.1112 0.180651
58744.1521296 2 20.1365 0.227693
58743.1532176 2 20.0067 0.205751
58740.1516204 2 19.7836 0.255201
58739.1514583 2 20.1093 0.311353
58738.1527083 2 20.0348 0.358058
58736.2821644 2 20.103 0.326668
58735.2724769 2 20.0129 0.267437
58733.2726042 2 19.7888 0.201684
58732.2730093 2 19.9673 0.226446
58727.2983333 2 19.6068 0.156852
58726.2752546 2 19.7489 0.166858
58725.2737963 2 19.504 0.115274
58724.2987153 2 19.5401 0.13092
58723.298669 2 19.4102 0.121426
58722.2754051 2 19.4074 0.132801
58720.2956829 2 19.2211 0.110157
58719.2761343 2 19.1778 0.133836
58718.2965278 2 18.9718 0.0938471
58717.2754745 2 18.9517 0.103888
58716.2960185 2 19.038 0.110004
58715.2755556 2 19.0245 0.131349
58714.1913657 2 18.876 0.0978374
58710.191412 2 18.8183 0.11871
58709.1952315 2 18.8641 0.121666
58708.1956366 2 18.7713 0.085348
58707.1942708 2 18.7281 0.0831748
58706.1955903 2 18.7134 0.0693598
58705.1948264 2 18.7865 0.0832688
58704.2770255 2 18.7381 0.102606
58703.282419 2 18.8087 0.0868815
58702.2805556 2 18.6958 0.0819869
58701.281169 2 18.6043 0.08601
58700.2773032 2 18.6195 0.0692248
58699.2807755 2 18.5767 0.0649975
58697.2998148 2 18.4312 0.0699345
58696.2778241 2 18.3531 0.0605362
58692.3334259 2 18.1598 0.0744066
58691.1816435 2 18.0666 0.0637927
58690.3637153 2 18.0193 0.0497505
58688.3861227 2 17.9978 0.054234
58685.3383796 2 18.0073 0.0620408
58683.2467361 2 17.9738 0.0616162
58683.2185185 2 17.9965 0.0618884
58682.2592245 2 17.9866 0.0631316
58681.2579051 2 18.0197 0.0761173
58680.2574653 2 18.1221 0.079814
58674.2123958 2 18.859 0.08375
