ZTF19abfibel 0.045290 Ia
58757.3261806 2 20.3263 0.206379
58750.3154167 2 20.1835 0.174518
58747.4196875 2 19.9327 0.211243
58736.4353472 2 19.7815 0.150182
58733.4023843 2 19.5093 0.113111
58730.4186227 2 19.4839 0.0962866
58726.378912 2 19.3578 0.115142
58723.3890278 2 19.1006 0.0926036
58720.3863079 2 18.8942 0.0818116
58717.4745833 2 18.7935 0.0842838
58712.4201042 2 18.6164 0.107518
58709.3938426 2 18.6423 0.0956402
58706.4021412 2 18.5678 0.0973517
58703.4245602 2 18.4876 0.0491667
58699.4819907 2 18.3559 0.0621693
58696.4641898 2 18.1482 0.0532224
58693.4764815 2 17.9177 0.0423086
58690.4246644 2 17.8047 0.0572442
58685.4404977 2 17.6935 0.0435084
58682.4192708 2 17.743 0.0431705
58679.4659028 2 17.9215 0.055761
58676.4878009 2 18.243 0.0608356
58673.448912 2 18.9769 0.0832878
58670.4789236 2 20.0759 0.139127
