ZTF19abgmkef 0.060000 II
58736.4615046 1 20.8008 0.310355
58730.4713079 1 20.3245 0.196645
58727.4392014 1 20.3813 0.265288
58724.4401968 1 20.2158 0.156069
58718.4101389 1 20.182 0.221538
58709.4994676 1 19.9106 0.198966
58706.4661806 1 19.527 0.127912
58703.4773843 1 19.4652 0.127727
58700.5021065 1 19.2609 0.142082
58700.4629861 1 19.1905 0.0776091
58697.4881366 1 19.0785 0.0908498
58697.4652546 1 19.1394 0.0977036
58694.4753704 1 18.9794 0.0860165
58691.4710532 1 18.8187 0.0952776
58688.4884722 1 18.8564 0.102688
58688.4787037 1 18.8126 0.093338
58682.4893403 1 18.6663 0.121761
58679.4581366 1 18.9343 0.138715
