ZTF19abgncfz 0.073000 II
58726.1423611 2 19.4013 0.191493
58723.144375 2 19.3611 0.182853
58707.190081 2 19.3026 0.165709
58706.1914005 2 19.1328 0.13196
58705.1906481 2 19.0895 0.152828
58700.273125 2 18.9761 0.124947
58699.2765856 2 19.008 0.129422
58696.2736343 2 18.9146 0.107481
58695.2721875 2 18.84 0.204273
58694.1831366 2 18.8533 0.0801555
58692.1852546 2 18.858 0.203544
58691.1751389 2 18.8155 0.0808943
58689.1834722 2 18.806 0.186354
58684.2327778 2 18.7268 0.0852908
58683.2143403 2 18.8659 0.108611
58681.2555324 2 19.0707 0.15792
58680.2589815 2 19.1612 0.147635
