ZTF19abgpgyp 0.070000 II
58987.4101968 1 20.2337 0.147918
58985.4229745 1 20.1768 0.19113
58973.4651389 1 20.1304 0.185467
58970.4464699 1 20.1328 0.151548
58967.433912 1 20.2859 0.166711
58964.3843519 1 20.2141 0.176566
58943.4451157 1 20.1754 0.239143
58936.4920718 1 20.1518 0.220127
58911.5355208 1 19.9492 0.245076
58908.5408333 1 20.0597 0.151567
58908.5408333 1 20.0597 0.151567
58904.554838 1 19.9098 0.208315
58898.5597569 1 19.9156 0.162686
58894.5583912 1 19.9629 0.19705
58891.474213 1 19.8878 0.393313
58879.5064699 1 19.8885 0.323002
58876.5353588 1 19.7085 0.132666
58876.5353588 1 19.7099 0.130955
58873.5565046 1 19.7772 0.137526
58851.5510648 1 19.6685 0.31169
58785.115463 1 19.3556 0.159911
58781.111713 1 19.3086 0.201457
58778.121713 1 19.2229 0.140332
58775.121331 1 19.2047 0.126594
58758.1436343 1 18.9626 0.114736
58750.1401736 1 18.8045 0.100087
58747.1418634 1 18.7243 0.0925404
58743.1411574 1 18.6588 0.0951937
58740.1249769 1 18.6352 0.132604
58737.1308218 1 18.5446 0.0880427
58734.2110301 1 18.5207 0.100063
58726.1512847 1 18.37 0.0635134
58723.1854167 1 18.2594 0.0611796
58718.1776157 1 18.1932 0.0586024
58708.1775926 1 18.0949 0.0910132
58694.226875 1 17.7227 0.0470573
58684.229375 1 18.4774 0.0831261
58681.1940856 1 19.2801 0.174879
