ZTF19abhphah 0.090000 Ia
58727.3093981 1 20.6992 0.36014
58727.3089236 1 20.6014 0.312568
58725.2860532 1 20.647 0.349157
58725.2855787 1 20.7085 0.289791
58724.3098495 1 20.6009 0.317327
58724.309375 1 20.6853 0.334989
58723.3098148 1 20.6155 0.277749
58723.3093519 1 20.8693 0.321854
58722.2872917 1 20.5925 0.382832
58722.2868171 1 20.7931 0.289487
58720.3077662 1 20.1202 0.242184
58720.3072917 1 20.4031 0.263719
58719.2883912 1 20.2204 0.266033
58719.2879167 1 20.2514 0.269187
58718.3087269 1 20.3265 0.259968
58718.3082639 1 20.3328 0.318647
58717.2878009 1 19.9594 0.242332
58717.2873264 1 20.3656 0.267483
58716.3078704 1 19.8699 0.193641
58716.3073958 1 20.0541 0.268798
58715.2874537 1 20.0122 0.194781
58715.2869792 1 20.0011 0.224109
58714.2022106 1 19.9329 0.245761
58714.2017477 1 19.9652 0.294925
58711.2016435 1 19.4187 0.20141
58711.201169 1 19.6685 0.27329
58710.2017824 1 19.6385 0.279561
58709.2356481 1 19.4083 0.234621
58709.2303935 1 19.4649 0.181152
58708.2307639 1 19.4662 0.215666
58707.2348032 1 19.1932 0.187768
58707.2296412 1 19.2676 0.15655
58706.2327431 1 19.2472 0.130673
58705.2350579 1 19.2056 0.152374
58705.2299769 1 19.2247 0.118265
58704.3154398 1 19.2133 0.135908
58704.3111806 1 19.1847 0.134412
58703.3199421 1 19.0347 0.160144
58703.315706 1 19.1041 0.122782
58702.3195486 1 19.0711 0.136818
58702.3152662 1 19.1469 0.115099
58701.3203935 1 19.1171 0.151023
58701.3160995 1 19.0699 0.0920852
58700.316875 1 19.0094 0.128898
58700.3125116 1 19.027 0.0959576
58699.3203125 1 18.9575 0.143275
58699.3159606 1 19.255 0.144863
58697.3372338 1 18.9869 0.118387
58697.3329977 1 19.0527 0.100757
58696.3182407 1 18.9887 0.107341
58696.31375 1 19.0523 0.100304
58695.3170255 1 19.05 0.119856
58695.3124769 1 19.1002 0.108223
58694.3199306 1 19.1489 0.11393
58693.2802546 1 19.1637 0.11131
58693.277419 1 19.1663 0.111797
58691.3009028 1 19.2647 0.121669
58690.2851389 1 19.374 0.149511
58688.3108565 1 19.6644 0.170781
58688.3094792 1 19.8066 0.152697
