ZTF19abhzdjp 0.100000 Ia
58725.2620718 2 19.7891 0.167539
58724.288125 2 19.9462 0.21738
58723.2880671 2 19.5865 0.195447
58722.2635764 2 19.9218 0.267911
58721.2636806 2 19.808 0.260717
58720.284537 2 19.8318 0.212407
58719.26375 2 19.5991 0.18169
58718.2847917 2 19.6069 0.19851
58717.2630903 2 19.5931 0.143055
58716.2842824 2 19.3917 0.165761
58715.2631597 2 19.5019 0.177425
58714.1789699 2 19.4862 0.149699
58711.1788194 2 19.2226 0.148206
58710.1790278 2 19.3194 0.225212
58707.1622685 2 19.0729 0.0955589
58704.1867708 2 19.0288 0.114446
58700.1814699 2 18.9182 0.0834021
58697.1750116 2 18.9773 0.114496
58694.1873032 2 19.1468 0.0935417
58691.1788773 2 19.3473 0.0981402
