ZTF19abhztqq 0.100000 Ia
58727.2887037 2 19.7662 0.216434
58726.2644792 2 19.9123 0.159889
58725.2630208 2 19.7999 0.175479
58724.2890856 2 19.7048 0.14559
58722.264537 2 19.7395 0.135147
58721.2646412 2 19.8417 0.216704
58720.2854977 2 19.701 0.176631
58719.2647106 2 19.6984 0.233222
58718.2857407 2 19.7316 0.185125
58717.2640509 2 19.5539 0.137383
58716.2852431 2 19.7244 0.192321
58715.2641204 2 19.6653 0.211861
58714.1799306 2 19.6448 0.135506
58711.1797801 2 19.3847 0.128263
58710.1799884 2 19.3133 0.133841
58709.1957407 2 19.2131 0.136859
58708.1961458 2 19.337 0.178108
58707.1947801 2 19.1919 0.123778
58706.1960995 2 19.1416 0.122395
58705.1953472 2 19.1364 0.104307
58704.2775347 2 19.1512 0.145445
58703.2829398 2 19.0525 0.102034
58702.2810648 2 19.0959 0.112166
58701.2816782 2 19.055 0.137436
58700.2778125 2 19.0033 0.106567
58699.2812847 2 19.0563 0.0830804
58697.3003241 2 18.9968 0.110868
58696.2783333 2 19.0415 0.125376
58695.2768866 2 19.0416 0.175079
58694.2045602 2 19.1236 0.0974746
58692.3287037 2 19.2031 0.101797
58691.205081 2 19.384 0.108232
58690.1818866 2 19.4255 0.121177
58689.1810185 2 19.464 0.101268
58685.3388889 2 20.2904 0.29457
