ZTF19abiahik 0.033000 Ia
58722.3078935 2 19.9032 0.184954
58720.3258102 2 19.874 0.17638
58719.3161343 2 19.8234 0.196761
58717.3078356 2 19.6877 0.172333
58713.2329051 2 19.1675 0.140584
58706.3915625 2 18.6354 0.101667
58703.4038079 2 18.4462 0.067502
58700.3948843 2 18.2635 0.0673556
58700.3939815 2 18.3004 0.084619
58697.3804514 2 18.2039 0.0669626
58697.379537 2 18.2264 0.0766486
58694.3371065 2 18.3883 0.147961
58691.3777894 2 18.7458 0.0715101
58688.3760532 2 19.307 0.111817
58688.3750694 2 19.3121 0.107397
