ZTF19abjarhj 0.108000 Ia-91T
58733.4517245 1 20.974 0.316366
58730.4744907 1 20.8575 0.343865
58727.4470023 1 20.2683 0.162794
58724.4491088 1 20.0478 0.179026
58718.4110532 1 19.5284 0.133938
58715.5074074 1 19.1062 0.137377
58709.4807986 1 18.7929 0.0909944
58706.4586921 1 18.7473 0.0697687
58700.4947338 1 18.7866 0.078208
58699.4545949 1 18.8106 0.0678727
58696.4301273 1 18.9548 0.0690233
58695.4128241 1 19.0463 0.082513
58693.428044 1 19.3163 0.0936662
58691.4870023 1 19.6283 0.147523
58690.474838 1 20.1474 0.155377
