ZTF19abjgdko 0.030000 Ia
58735.4885648 2 19.7813 0.131276
58735.487662 2 19.6941 0.13458
58732.5183449 2 19.6832 0.166781
58732.4827315 2 19.8724 0.152874
58732.4772569 2 19.6749 0.104273
58725.4990394 2 19.5966 0.124995
58724.4842245 2 19.4928 0.138681
58722.4864583 2 19.4068 0.123606
58719.4641435 2 19.5102 0.221413
58714.4573843 2 19.0885 0.120131
58714.443669 2 19.0386 0.111839
58707.4972338 2 18.7809 0.0659899
58707.4967824 2 18.711 0.084533
58704.497037 2 18.6593 0.0990575
58704.4965741 2 18.4902 0.0883019
58701.4849421 2 18.4026 0.186464
58701.4844792 2 18.4047 0.205184
58698.4876042 2 18.4631 0.164995
58695.4865509 2 18.3817 0.0667157
58694.4874421 2 18.273 0.0719214
58692.4900231 2 18.337 0.0773735
