ZTF19abkfmjp 0.100800 II
58778.3141435 2 19.3666 0.206925
58765.356713 2 19.307 0.20453
58760.3137731 2 19.2715 0.145654
58757.3188657 2 19.2769 0.139458
58743.3553704 2 19.0738 0.248094
58736.3768056 2 19.2211 0.148081
58733.396875 2 19.0762 0.113632
58726.3766551 2 19.035 0.113876
58723.3931713 2 19.1137 0.0992705
58717.4603356 2 19.0844 0.141696
58714.4305671 2 18.914 0.174367
58711.4176505 2 18.9201 0.197242
58708.5008218 2 18.8989 0.0750209
58705.4591088 2 18.7684 0.101332
58701.5017593 2 18.9483 0.240506
58698.4812153 2 18.754 0.0967064
58694.4809838 2 18.6532 0.0721552
