ZTF19ablpnmk 0.060000 Ia
58733.3992014 2 19.8622 0.161769
58730.4018171 2 19.8623 0.175862
58730.4009144 2 19.8024 0.194815
58725.4842014 2 19.5875 0.151775
58725.48375 2 19.64 0.12524
58719.3761458 2 19.2908 0.126403
58717.4783565 2 19.245 0.126944
58716.3793171 2 19.0782 0.138755
58712.4196528 2 18.8657 0.153791
58712.4049537 2 18.9017 0.172427
58709.4163542 2 18.7955 0.106128
58706.4016782 2 18.9224 0.10328
58703.4236574 2 18.9994 0.0997746
58703.4218519 2 18.9884 0.102757
58699.3793171 2 19.3758 0.117839
58699.3784144 2 19.3192 0.107998
58696.4637384 2 19.9198 0.176411
