ZTF19ablusdf 0.057000 Ia
58730.1580324 2 20.1333 0.193345
58720.3320833 2 19.2821 0.109574
58717.3125116 2 19.1592 0.0738033
58714.3475694 2 18.9246 0.0761288
58711.2985301 2 18.8277 0.0923064
58709.2029167 2 18.7642 0.101988
58708.2033449 2 18.7543 0.0834645
58707.2020023 2 18.8741 0.0849948
58706.2050579 2 18.8113 0.076057
58705.2025694 2 18.9437 0.0906957
58704.2847685 2 18.8914 0.0797233
58703.2901736 2 19.1001 0.0833613
58702.2882986 2 19.2637 0.0958035
58701.2889005 2 19.3158 0.08418
58700.2850231 2 19.5162 0.0938853
58699.2885069 2 19.9249 0.155683
