ZTF19abnimpq 0.070000 Ia
58793.3705208 2 20.3574 0.202821
58792.3614236 2 20.3901 0.219195
58791.3454745 2 20.3135 0.175386
58789.2664699 2 20.2915 0.278238
58788.2796644 2 20.584 0.247661
58781.2928356 2 20.202 0.24093
58778.3308912 2 20.093 0.165025
58775.1948032 2 20.0499 0.169827
58763.3372801 2 19.643 0.102036
58759.3711343 2 19.4601 0.0873409
58749.3040394 2 19.0388 0.070073
58743.35875 2 18.729 0.106059
58739.4019444 2 18.6365 0.0710645
58736.5047222 2 18.5828 0.0623927
58733.4083449 2 18.426 0.0462056
58727.4858333 2 18.2606 0.0463623
58724.4139236 2 18.0721 0.0578679
58718.4649653 2 17.9459 0.050704
58715.4419792 2 17.9464 0.0582797
58712.4345023 2 18.0292 0.0511445
58709.4113542 2 18.1574 0.059415
58706.4933565 2 18.3918 0.0550218
58703.4522106 2 18.8812 0.0789219
58700.4528819 2 19.7919 0.103147
