ZTF19abnmnrz 0.110000 Ia
58725.2893056 1 20.2349 0.218451
58725.2888194 1 20.5465 0.259861
58724.3130093 1 20.4678 0.289078
58723.3129745 1 20.1053 0.200122
58723.3125 1 19.9784 0.266014
58722.2909838 1 20.099 0.176145
58720.3109144 1 19.9644 0.188283
58720.3104398 1 19.8611 0.201008
58719.2920833 1 19.8202 0.206796
58719.2915972 1 19.7225 0.193327
58718.3118866 1 19.8676 0.190513
58718.311412 1 19.8715 0.234683
58717.2910069 1 19.8065 0.236968
58716.3115625 1 19.5381 0.17406
58716.3110764 1 19.7733 0.202587
58715.2911458 1 19.6782 0.190257
58715.2906597 1 19.5533 0.208413
58714.2059028 1 19.6198 0.133052
58714.2054282 1 19.8332 0.197815
58711.2053241 1 19.4182 0.18862
58711.2048495 1 19.6258 0.181884
58710.2059491 1 19.5419 0.247394
58709.224213 1 19.5326 0.217682
58708.2265394 1 19.539 0.220247
58708.2246065 1 19.6075 0.244074
58707.2254282 1 19.4395 0.170734
58707.2234954 1 19.3123 0.200073
58706.2285185 1 19.581 0.129053
58705.2257639 1 19.8378 0.210021
58705.2238426 1 19.6036 0.158834
58704.3069213 1 19.6498 0.1792
58704.305 1 19.6344 0.178786
58703.3114583 1 19.7763 0.147659
58703.309537 1 19.7583 0.147424
58702.3110185 1 19.7734 0.151039
58702.3090972 1 19.7467 0.198543
58701.3118403 1 20.089 0.145265
58701.3099074 1 19.8978 0.213823
58700.3082523 1 20.0739 0.163645
58699.3116782 1 20.2374 0.244721
58699.3097569 1 20.376 0.308209
58696.3094676 1 21.0682 0.288514
