ZTF19abopflp 0.070000 Ia
58775.1299421 2 20.0884 0.182692
58774.1302315 2 19.976 0.258899
58774.1297801 2 19.9532 0.291367
58772.1300347 2 19.8356 0.270867
58766.1288889 2 19.7825 0.306509
58765.1291667 2 19.8991 0.19755
58765.1287153 2 19.6872 0.170704
58764.1289815 2 19.6304 0.189647
58764.1285301 2 19.7501 0.21892
58763.3621065 2 19.8239 0.158322
58761.3390046 2 19.738 0.138629
58760.2986806 2 19.6905 0.105688
58758.3099537 2 19.5089 0.111372
58757.3256713 2 19.5234 0.132026
58750.3260764 2 19.1258 0.0960002
58749.2975231 2 19.1615 0.0973531
58747.4293866 2 19.0295 0.09948
58744.3818981 2 19.021 0.134759
58743.367662 2 18.9626 0.144248
58741.4271991 2 18.7827 0.143554
58738.3404745 2 18.7366 0.106054
58736.431169 2 18.8146 0.0815658
58735.3914699 2 18.7817 0.0896663
58733.3935532 2 18.7078 0.086621
58732.4663194 2 18.6044 0.0610893
58730.3990741 2 18.5055 0.0693268
58727.4872106 2 18.3371 0.0474622
58724.4153009 2 18.2041 0.0463365
58724.3993056 2 18.1751 0.0562229
58721.4456597 2 18.379 0.222065
58718.4778704 2 18.1087 0.0629158
58718.4764583 2 18.1086 0.054956
58715.4289815 2 18.134 0.0649617
58715.3784144 2 18.1512 0.0744589
58712.4261227 2 18.2955 0.0634323
58712.4026389 2 18.3145 0.0764805
58706.4067593 2 19.2847 0.0791107
58706.4039931 2 19.3933 0.0862758
58703.42875 2 20.6031 0.185633
58703.426412 2 20.4123 0.23128
