ZTF19abopyyu 0.070000 Ia
58763.3363657 2 20.0688 0.18183
58759.3576389 2 19.6932 0.144465
58749.3003588 2 19.1738 0.104254
58743.3568634 2 19.0068 0.211832
58739.3990972 2 18.9916 0.120042
58736.4339931 2 18.9291 0.0837842
58733.4064931 2 18.8647 0.0828934
58730.4222454 2 18.6354 0.0644622
58727.4839236 2 18.4777 0.0561257
58724.4167361 2 18.3525 0.084312
58718.4617245 2 18.2579 0.0627702
58715.4223958 2 18.3437 0.0705807
58712.425625 2 18.5472 0.0861674
58706.4988889 2 19.5091 0.104383
58703.4421528 2 20.4496 0.213689
