ZTF19abpmetl 0.068000 Ia
58750.2612731 2 19.4941 0.139707
58749.2684144 2 19.6431 0.143287
58745.3374306 2 19.5195 0.178291
58733.2322106 2 19.108 0.101361
58733.2313079 2 19.0429 0.112779
58730.1509028 2 18.8391 0.094771
58730.1504514 2 18.8637 0.11788
58722.3074421 2 18.6552 0.0941559
58720.3335069 2 18.6628 0.0642085
58719.3156829 2 18.6786 0.144876
58717.3083218 2 18.7426 0.0845187
58716.3706019 2 18.7445 0.112469
58714.3581366 2 18.853 0.0992104
58713.2324537 2 18.777 0.162563
58709.2138773 2 19.873 0.254691
58706.2157986 2 20.1999 0.223077
