ZTF19abqhobb 0.018150 II
58805.1004514 1 18.5967 0.141508
58803.0925116 1 18.6092 0.110418
58797.1372917 1 18.3528 0.110478
58796.1409722 1 18.4219 0.138151
58795.1134375 1 18.4419 0.101043
58794.1362963 1 18.3364 0.0872959
58793.1411458 1 18.5161 0.0913076
58791.1334375 1 18.4185 0.0746447
58789.1678819 1 18.3869 0.115151
58788.1674653 1 18.4717 0.0965377
58787.1665394 1 18.384 0.0984404
58786.1742245 1 18.3157 0.101344
58785.1677662 1 18.3131 0.0792529
58783.1680671 1 18.3067 0.0790231
58782.1670023 1 18.2913 0.0697253
58781.1681829 1 18.2346 0.101634
58779.1686921 1 18.2632 0.0729194
58778.1688657 1 18.2414 0.079649
58777.1686574 1 18.2716 0.0879178
58776.1682176 1 18.2716 0.0615991
58775.1689931 1 18.2377 0.0635874
58774.1688889 1 18.2289 0.0846306
58773.1689468 1 18.1614 0.0934072
58772.1703241 1 18.1888 0.0841323
58771.1699769 1 18.1038 0.101798
58770.1697454 1 18.2131 0.119393
58769.1696991 1 18.0854 0.0875488
58768.1697569 1 18.1155 0.0829461
58767.1691667 1 18.1266 0.134188
58766.1716667 1 18.0881 0.0774815
58765.1731019 1 18.1249 0.0857617
58764.1724074 1 18.1096 0.0802258
58763.1810764 1 18.0487 0.0689559
58762.1797338 1 18.0124 0.0664468
58761.1805556 1 18.0349 0.0692157
58760.1815394 1 18.0635 0.065591
58758.1971528 1 17.9834 0.0734809
58754.1803935 1 17.8951 0.0699774
58751.1807292 1 17.8384 0.0605865
58750.1830903 1 17.8154 0.070044
58749.1827894 1 17.8287 0.0635701
58748.1812731 1 17.7668 0.0604478
58747.1821528 1 17.7775 0.0517958
58746.2067477 1 17.7582 0.0578653
58745.1822685 1 17.7275 0.0476926
58744.1821528 1 17.686 0.0578462
58743.1831481 1 17.6492 0.0566987
58741.182581 1 17.6301 0.0522272
58740.1856944 1 17.5774 0.0640453
58739.1859375 1 17.5435 0.0666233
58738.1821181 1 17.53 0.0573717
58737.3118056 1 17.493 0.0640809
58736.298912 1 17.4774 0.065902
58735.2904051 1 17.4398 0.0481009
58734.2918287 1 17.3967 0.0690532
58733.2905903 1 17.4471 0.0618623
58732.2912616 1 17.4035 0.0446993
58730.2929861 1 17.3749 0.0451934
58727.3156944 1 17.3109 0.0489822
58726.2942824 1 17.2596 0.0419962
58725.2929861 1 17.2382 0.0406983
58724.3166782 1 17.224 0.0442629
58723.3166551 1 17.1989 0.0451372
58722.2946644 1 17.1823 0.0378516
58721.2954861 1 17.223 0.0824842
58720.3146065 1 17.1769 0.0420648
58719.2963194 1 17.1994 0.0438611
58718.3155671 1 17.2044 0.044697
58717.2957176 1 17.2183 0.0508015
58716.3152431 1 17.2974 0.0480056
58715.2953819 1 17.3787 0.0537564
58714.2101389 1 17.9317 0.0432277
