ZTF19abqrhvy 0.029000 II
58836.1248148 1 19.6779 0.148867
58833.1096644 1 19.8538 0.200408
58831.1078009 1 19.5974 0.178725
58820.1303125 1 19.4861 0.30581
58814.1242361 1 19.1546 0.264544
58814.1237847 1 19.2723 0.253425
58812.166169 1 19.2188 0.108249
58811.1768866 1 19.2964 0.131357
58811.1764352 1 19.2991 0.167273
58806.1817361 1 19.1544 0.105844
58806.1812847 1 19.1473 0.145526
58803.1786458 1 19.1951 0.162301
58800.2065162 1 19.1472 0.151224
58800.1763657 1 19.2354 0.181416
58798.1379745 1 18.9876 0.153521
58798.1334491 1 19.2355 0.162123
58797.1933796 1 19.0661 0.164791
58797.1920255 1 18.9861 0.130112
58797.1730093 1 19.2208 0.206616
58797.1725579 1 19.1038 0.146929
58794.196088 1 18.9719 0.110826
58794.1951852 1 19.0213 0.146555
58794.185463 1 19.0473 0.14324
58794.1714815 1 18.9952 0.107011
58792.2082292 1 19.0077 0.100733
58792.2068634 1 19.0502 0.110743
58791.2775347 1 19.0172 0.0986583
58791.195544 1 19.0297 0.118672
58791.1946296 1 19.0912 0.118864
58791.1916319 1 19.065 0.0966294
58788.2044097 1 19.0368 0.128919
58785.2223495 1 19.0502 0.0907931
58785.2218866 1 19.0781 0.105605
58782.2263542 1 18.9419 0.086427
58779.1836806 1 18.9308 0.126723
58777.1875116 1 18.9767 0.120182
58767.2555903 1 18.605 0.305236
58764.3626389 1 18.6675 0.0900753
58764.3356713 1 18.6219 0.0991314
58763.1980093 1 18.6324 0.0906647
58763.1942593 1 18.7196 0.0775712
58762.1965741 1 18.5824 0.0973254
58762.1928704 1 18.624 0.082853
58761.1973611 1 18.6073 0.0923836
58761.1936806 1 18.7136 0.108497
58760.1983102 1 18.6152 0.109755
58760.1946412 1 18.5926 0.0746187
58758.2103472 1 18.56 0.0839775
58754.1969329 1 18.4528 0.0816787
58754.1934259 1 18.4586 0.0717708
58751.1971644 1 18.3589 0.0742226
58751.1937153 1 18.5015 0.0783004
58750.199537 1 18.4058 0.071843
58750.196088 1 18.3859 0.070226
58749.1992014 1 18.3746 0.070421
58749.1957755 1 18.3006 0.061475
58748.1973843 1 18.327 0.0758227
58748.1939815 1 18.2793 0.06312
58747.1985069 1 18.2781 0.068831
58747.1951042 1 18.2858 0.058533
58745.1985648 1 18.2112 0.0796097
58745.1951968 1 18.217 0.0570928
58744.1984259 1 18.1482 0.0757918
58744.1950694 1 18.1441 0.0788646
58743.1994097 1 18.1512 0.0719626
58743.1960648 1 18.0726 0.061436
58742.1990741 1 18.0553 0.123755
58742.1957523 1 18.1729 0.170731
58741.1987963 1 18.0965 0.0744008
58741.1954861 1 18.0849 0.0829674
58740.2019329 1 17.9935 0.0790391
58740.1986111 1 18.0623 0.0876799
58739.2021528 1 18.0783 0.101075
58739.1988426 1 18.0328 0.0826909
58738.2030903 1 18.0592 0.104137
58738.1997917 1 18.0247 0.10326
58736.4554051 1 17.9617 0.0625568
58736.3076157 1 17.9771 0.0570706
58730.3292824 1 17.8922 0.124587
58730.3032986 1 17.8509 0.0592236
58726.4010417 1 17.8295 0.0536219
58726.4005787 1 17.8183 0.0523418
58723.4137731 1 17.8115 0.0520746
58723.4022106 1 17.8356 0.0568023
58720.4030208 1 17.9586 0.0636696
58720.4025694 1 17.885 0.0649195
58717.3804514 1 18.0713 0.050287
