ZTF19abqsvue 0.083000 Ia
58733.2624884 2 19.771 0.155745
58732.2633796 2 19.8652 0.215613
58732.2628935 2 19.6602 0.155151
58730.2647338 2 19.3661 0.269986
58727.2887037 2 19.5 0.148438
58727.2882292 2 19.4547 0.14356
58726.2639931 2 19.4516 0.114227
58725.2630208 2 19.4244 0.151684
58725.2625463 2 19.4467 0.134331
58724.2890856 2 19.4036 0.181922
58724.2886111 2 19.3867 0.141857
58723.2890278 2 19.4494 0.15205
58723.2885532 2 19.4527 0.144617
58722.264537 2 19.5427 0.150383
58722.2640509 2 19.532 0.112957
58721.2641551 2 19.651 0.143414
58720.2854977 2 19.7108 0.176872
58720.2850231 2 19.6671 0.172136
58719.2642361 2 19.7403 0.132388
58718.2857407 2 19.8398 0.188375
58718.2852662 2 19.7525 0.137606
58717.2640509 2 20.0224 0.305647
58717.2635648 2 20.0944 0.186724
58715.2636458 2 20.4701 0.274403
58714.1799306 2 20.565 0.317823
58714.179456 2 20.5467 0.221063
