ZTF19abqwsuf 0.040000 II
58764.4029167 2 20.0606 0.201483
58763.1713426 2 19.9763 0.184524
58762.1700231 2 20.0334 0.1598
58761.1702778 2 19.7836 0.155819
58760.1712616 2 19.9031 0.198077
58758.178831 2 19.9774 0.161396
58754.1696528 2 19.7528 0.173946
58751.1699769 2 19.7102 0.157949
58750.172338 2 19.6492 0.232023
58749.172037 2 19.5718 0.118666
58748.1705208 2 19.5174 0.151388
58747.1713889 2 19.549 0.126201
58746.1960185 2 19.4198 0.140704
58745.1714815 2 19.4938 0.123335
58744.1713773 2 19.2052 0.099617
58743.1723611 2 19.2077 0.17802
58741.1712847 2 19.0955 0.251037
58736.4007639 2 18.9069 0.112528
58730.3825347 2 18.5595 0.0562649
58721.314213 2 18.4071 0.136672
58716.3888079 2 18.8222 0.0907983
58712.3761921 2 19.363 0.244511
