ZTF19abqyoxt 0.020000 II
58836.4953704 2 19.0421 0.118216
58833.3813773 2 19.0523 0.114295
58833.3069329 2 18.866 0.247126
58830.3041782 2 18.8543 0.122697
58828.2446528 2 19.077 0.236221
58827.2768519 2 18.9394 0.121564
58806.5081019 2 18.6425 0.0915258
58805.3812037 2 18.6703 0.117999
58799.4772801 2 18.6124 0.0909937
58799.3311574 2 18.5075 0.0864947
58796.4344792 2 18.4599 0.0751745
58793.5146412 2 18.4997 0.0684916
58790.4895486 2 18.5132 0.0830161
58787.5114931 2 18.5008 0.0999576
58784.5132755 2 18.4757 0.121928
58778.4930208 2 18.4739 0.0898685
58772.5364468 2 18.4443 0.0781286
58769.4511343 2 18.4526 0.0971865
58766.5353125 2 18.398 0.079661
58763.5152315 2 18.4169 0.0558089
58759.5127546 2 18.4024 0.0643057
58756.5123264 2 18.4024 0.0654306
58750.5093056 2 18.4428 0.0923007
58747.4650694 2 18.3394 0.064881
58744.4718634 2 18.4345 0.113305
58741.4677546 2 18.3136 0.0931126
58735.5142245 2 18.3757 0.0801189
58732.5092361 2 18.4074 0.0664255
58726.5084259 2 18.4173 0.0709539
58723.5076736 2 18.4689 0.0587861
58716.4912731 2 18.732 0.0948239
