ZTF19abrcvzz 0.073000 Ia
58790.1387616 2 19.9284 0.170213
58785.2390046 2 19.9367 0.1458
58777.194838 2 19.815 0.198467
58774.2055208 2 19.9423 0.219996
58771.2627315 2 19.4673 0.178271
58764.406088 2 19.1999 0.11568
58763.1657292 2 19.0256 0.0999664
58762.164456 2 18.939 0.107577
58761.1647222 2 18.9146 0.0915784
58760.1657407 2 18.9288 0.0848992
58759.2085764 2 18.8905 0.0855711
58758.173287 2 18.8558 0.0943361
58754.164294 2 18.7881 0.0980488
58751.1646644 2 18.771 0.0835005
58750.167037 2 18.7967 0.0985285
58749.1667593 2 18.762 0.0960017
58748.1652662 2 18.7358 0.103715
58747.1661458 2 18.6843 0.100495
58746.1906134 2 18.6454 0.081934
58745.1662731 2 18.5769 0.0737427
58744.1654861 2 18.5333 0.0716851
58743.1665509 2 18.5096 0.102446
58741.1661343 2 18.3695 0.0825221
58740.1659838 2 18.3387 0.119994
58739.1655671 2 18.2752 0.0937246
58738.1666667 2 18.1961 0.0762841
58736.4141898 2 18.14 0.0630669
58733.3828125 2 18.0488 0.0504345
58730.391713 2 18.0887 0.0574181
