ZTF19abucwzt 0.016501 Ib
58963.1826968 1 20.0798 0.161667
58963.1631713 1 20.1098 0.195076
58906.2626505 1 20.2994 0.248178
58906.1449884 1 20.2976 0.24004
58904.1587037 1 20.5548 0.234653
58903.2429282 1 20.3261 0.214948
58899.224294 1 20.5806 0.258764
58898.2360532 1 20.4696 0.199103
58881.1865509 1 20.3871 0.262479
58876.1947801 1 20.3404 0.266711
58867.2129514 1 20.4526 0.213812
58864.1948843 1 20.6841 0.206533
58852.4746181 1 20.9167 0.214326
58790.5336921 1 20.3257 0.198327
58789.4510995 1 20.2184 0.21094
58784.4695602 1 20.2243 0.25037
58775.421956 1 19.6643 0.279724
58766.4740856 1 20.0002 0.166947
58763.4728009 1 19.9214 0.151156
58759.4502083 1 19.8002 0.137749
58756.4676505 1 19.861 0.169516
58751.4838657 1 19.8245 0.171039
58745.5190625 1 19.5312 0.179507
58739.5071528 1 19.4195 0.20094
58736.4916898 1 19.4444 0.133354
58733.4897106 1 19.4913 0.14187
58726.4883796 1 19.2447 0.124738
58723.4839699 1 19.1367 0.117926
