ZTF19abucwzt 0.016501 Ib
58955.1982292 2 18.8486 0.0960785
58944.1528472 2 18.7548 0.090358
58938.1602315 2 18.8266 0.091454
58912.1739583 2 19.0231 0.118499
58909.1145023 2 19.0428 0.165552
58906.1687731 2 19.2136 0.133768
58903.1820833 2 19.0131 0.082339
58903.1721181 2 19.0775 0.092099
58900.1860995 2 19.0325 0.134318
58898.1631713 2 19.1052 0.100592
58894.2473032 2 19.147 0.089892
58892.2842477 2 19.2555 0.101302
58884.1701389 2 19.2242 0.178209
58882.1442708 2 19.2421 0.116493
58881.2602662 2 19.3126 0.118915
58880.2066204 2 19.4228 0.125124
58875.2189005 2 19.3514 0.112009
58873.1952894 2 19.3611 0.107781
58872.2886921 2 19.2433 0.107275
58871.2621181 2 19.5175 0.112412
58867.2695602 2 19.4962 0.115586
58864.2191667 2 19.4991 0.121872
58862.3020023 2 19.5814 0.117889
58860.2987847 2 19.4594 0.229469
58796.5399769 2 19.8211 0.151467
58787.5144329 2 19.932 0.270752
58781.4924884 2 19.661 0.26731
58778.4878356 2 19.6407 0.151177
58766.5087731 2 19.3596 0.11524
58763.50875 2 19.2859 0.10668
58759.5071065 2 19.2597 0.0988762
58756.5066435 2 19.1579 0.109634
58745.4942708 2 18.8082 0.0828913
58739.4721065 2 18.6107 0.0924614
58733.5142245 2 18.4789 0.081928
58726.5074653 2 18.2117 0.0662313
58723.5058681 2 18.0985 0.0683741
