ZTF19abulzlj 0.116700 Ia
58772.1419444 2 19.5788 0.174909
58770.1400231 2 19.767 0.274582
58769.1402199 2 19.8477 0.251321
58767.1387037 2 19.7218 0.293112
58765.1399884 2 19.6504 0.162554
58764.1381019 2 19.6137 0.180696
58763.1528125 2 19.7267 0.193416
58762.1515509 2 19.5916 0.197275
58761.1518287 2 19.4684 0.150765
58760.1528472 2 19.5249 0.154237
58758.1603819 2 19.499 0.140537
58754.1514352 2 19.1181 0.0780665
58751.1518171 2 19.0638 0.118908
58750.1541782 2 19.0131 0.107967
58749.1525 2 18.9477 0.0872826
58748.1512963 2 18.9729 0.098092
58747.1522917 2 18.9124 0.099741
58746.1524421 2 18.879 0.106729
58745.1526736 2 18.9394 0.0785482
58744.1526389 2 18.8156 0.0896597
58743.1537269 2 18.8396 0.0897732
58741.1521528 2 18.8832 0.107159
58740.1521296 2 18.8415 0.101935
58739.1519676 2 18.9075 0.12697
58738.1532176 2 18.8558 0.103609
58737.2866319 2 18.9377 0.135644
58736.2725347 2 19.0112 0.128733
58735.2628356 2 19.1312 0.15322
58734.2642477 2 19.0427 0.0996035
58733.2629745 2 19.1367 0.121519
58732.2633796 2 19.1974 0.114525
58730.2647338 2 19.2225 0.152795
