ZTF19abuzinv 0.020000 II
58880.1617361 2 19.8821 0.23156
58879.0928704 2 19.7158 0.199556
58877.1355787 2 19.8401 0.167796
58875.1041204 2 19.8674 0.183373
58874.1386458 2 19.8116 0.124078
58871.1098611 2 19.8102 0.142466
58871.1035417 2 19.8431 0.181324
58867.1108681 2 19.6717 0.129393
58861.1569792 2 19.6748 0.159319
58860.1530093 2 19.5567 0.165867
58859.176331 2 19.3894 0.117927
58856.1434028 2 19.3304 0.183917
58854.1513542 2 19.0531 0.325237
58853.1288889 2 19.2329 0.249141
58850.1178935 2 19.0176 0.176665
58850.1174421 2 19.039 0.149638
58846.133287 2 18.8483 0.088086
58836.098287 2 18.518 0.103628
58833.2842477 2 18.5673 0.0830479
58833.1034491 2 18.5545 0.0699669
58831.0991782 2 18.5527 0.0792324
58827.2405324 2 18.5526 0.157536
58819.1524884 2 18.4604 0.0763133
58814.2050694 2 18.4582 0.066632
58814.1766204 2 18.4631 0.114396
58812.1997685 2 18.4332 0.0825404
58811.1616088 2 18.4613 0.074571
58806.2434028 2 18.4714 0.0725736
58803.2820255 2 18.5158 0.0833898
58801.2534606 2 18.5988 0.127135
58800.2965394 2 18.4471 0.086589
58799.2302894 2 18.4833 0.111573
58798.2425926 2 18.381 0.0929167
58797.3175347 2 18.542 0.107474
58796.2981713 2 18.515 0.0851144
58794.3187847 2 18.4652 0.0842157
58793.3705208 2 18.5126 0.0701018
58792.3614236 2 18.5272 0.0784721
58791.3454745 2 18.5528 0.0684502
58789.2664699 2 18.5479 0.112067
58788.2796644 2 18.5776 0.0965708
58781.2928356 2 18.6105 0.101146
58778.3308912 2 18.5703 0.0713149
58775.1948032 2 18.6541 0.0848238
58772.3900463 2 18.7217 0.209512
58763.3372801 2 18.7384 0.0706644
58759.3711343 2 18.7692 0.0734827
58749.3040394 2 18.8453 0.0782305
58743.35875 2 18.9501 0.163948
58739.4019444 2 19.0648 0.14151
58736.5047222 2 19.0233 0.0812761
58733.4083449 2 19.096 0.0868621
58727.4858333 2 19.6504 0.108455
