ZTF19abvhkst 0.068000 Ia
58778.1649653 1 20.5705 0.250309
58777.1647685 1 20.0617 0.30795
58776.1643287 1 20.4881 0.275407
58776.1613889 1 20.4574 0.301385
58775.1650926 1 20.644 0.30221
58774.1649884 1 20.2467 0.274547
58766.1677662 1 19.7688 0.337707
58766.1648611 1 19.7256 0.298097
58765.169213 1 19.6629 0.205808
58765.1663079 1 19.6138 0.264069
58764.1684028 1 19.885 0.254672
58764.1655093 1 19.7023 0.221548
58763.3921991 1 19.5782 0.147726
58763.3917361 1 19.5631 0.148155
58760.3721991 1 19.31 0.108821
58760.3717361 1 19.2339 0.11818
58757.4107639 1 19.0716 0.119505
58757.4103125 1 19.0763 0.123627
58749.3246528 1 18.4423 0.0760581
58749.3241898 1 18.4028 0.0736806
58746.3903935 1 18.3349 0.0750928
58746.3823611 1 18.2613 0.077974
58743.4019444 1 18.2302 0.087464
58743.4014815 1 18.1079 0.077898
58739.5167593 1 18.2693 0.0909423
58739.4875 1 18.2319 0.0826452
58736.4633912 1 18.3783 0.0667693
58736.4629282 1 18.3923 0.0747043
58733.4445139 1 18.6402 0.0750762
58733.4440625 1 18.7167 0.110447
58730.4759144 1 19.2837 0.134816
58727.4462963 1 20.4089 0.233401
58727.4225694 1 20.6471 0.256316
