ZTF19abvhkst 0.068000 Ia
58783.1370023 2 19.8995 0.210501
58782.1328704 2 19.834 0.197516
58781.1366898 2 19.8888 0.24654
58779.1367824 2 19.6294 0.190104
58779.1338773 2 19.7214 0.196104
58778.1369792 2 19.583 0.163026
58778.1340741 2 19.8353 0.146199
58777.136794 2 19.5702 0.172492
58777.1338889 2 19.5476 0.14745
58776.1363773 2 19.505 0.174369
58776.1334838 2 19.547 0.142168
58775.1365856 2 19.4102 0.138933
58775.1336921 2 19.5115 0.110799
58774.1368519 2 19.2762 0.151892
58774.1339699 2 19.3412 0.176184
58773.1365625 2 19.3166 0.170309
58773.133669 2 19.3725 0.179588
58772.1366435 2 19.3682 0.199782
58772.1337616 2 19.2123 0.173208
58771.1364583 2 19.1951 0.242273
58769.1354051 2 18.9082 0.14721
58768.1358565 2 19.0988 0.176399
58768.1329745 2 19.1534 0.180841
58767.1327662 2 19.053 0.265708
58766.135463 2 19.1423 0.187206
58766.132581 2 19.2712 0.21285
58765.1352431 2 19.1878 0.182201
58765.1328356 2 19.1301 0.12364
58764.1350463 2 19.1312 0.129909
58764.1326505 2 19.0623 0.108168
58763.349375 2 19.0757 0.069485
58763.3368171 2 19.1354 0.0949524
58760.3269792 2 19.0394 0.0600289
58760.3265162 2 19.0734 0.129463
58757.3322222 2 18.9478 0.0954552
58757.3317593 2 18.946 0.0579476
58749.2994444 2 18.4952 0.0734999
58749.2989815 2 18.448 0.057986
58743.358287 2 18.3121 0.101091
58743.3578241 2 18.3382 0.075301
58739.4014815 2 18.3404 0.0897352
58739.3807755 2 18.3937 0.0763752
58736.4302083 2 18.5023 0.04396
58736.4297569 2 18.5231 0.0770362
58733.4092708 2 18.8656 0.0638323
58733.4088079 2 18.8114 0.0799802
58730.4250116 2 19.503 0.103054
58727.4867593 2 20.5698 0.210532
58727.4862963 2 20.6719 0.240302
