ZTF19abvjcii 0.056000 Ia
58751.1793171 1 19.8292 0.208189
58749.1832407 1 19.532 0.186092
58749.1813773 1 19.6933 0.205225
58748.1798611 1 19.4812 0.170646
58747.1826042 1 19.5578 0.190225
58747.1807407 1 19.4928 0.136055
58746.2071991 1 19.3224 0.177963
58746.2053356 1 19.2422 0.166741
58745.1827199 1 19.1675 0.133391
58745.1808565 1 19.2387 0.119474
58744.1826042 1 19.3811 0.180061
58744.1807407 1 19.0562 0.11907
58743.1835995 1 19.4214 0.24351
58743.1817361 1 19.093 0.140136
58741.1830324 1 19.0687 0.180876
58741.181169 1 19.0705 0.221541
58740.1861458 1 18.9556 0.17957
58740.1842824 1 18.7854 0.161436
58739.1863889 1 18.8584 0.19286
58739.1796181 1 18.7296 0.134847
58738.187338 1 18.9218 0.138769
58738.180706 1 18.9801 0.205703
58737.3144213 1 18.9826 0.170948
58736.3015278 1 18.9694 0.156766
58735.2936111 1 19.0116 0.139392
58735.2931019 1 19.2373 0.144441
58734.2950347 1 19.2181 0.154333
58734.2945255 1 19.1949 0.121708
58733.2937963 1 19.2639 0.164827
58733.293287 1 19.1147 0.115887
58732.2944676 1 19.2868 0.123332
58732.2939583 1 19.2658 0.129539
