ZTF19abvjcii 0.056000 Ia
58766.1394213 2 19.1453 0.179073
58758.1594213 2 18.8202 0.156644
58754.152338 2 18.9828 0.0869841
58751.1527315 2 18.7232 0.107363
58751.1508565 2 18.8341 0.154787
58750.155081 2 18.9315 0.128302
58749.1515394 2 18.8164 0.120283
58748.1503356 2 18.7225 0.0979732
58747.1531944 2 18.5623 0.0820026
58747.151331 2 18.5495 0.107841
58746.1533449 2 18.6562 0.12045
58745.1535764 2 18.6094 0.0799222
58744.1535417 2 18.4628 0.102828
58744.1516782 2 18.669 0.138987
58743.1546296 2 18.5216 0.103496
58742.1511227 2 17.0749 0.107674
58741.1530556 2 18.4157 0.0784324
58740.1530324 2 18.4205 0.13235
58739.1528704 2 18.7224 0.116623
58739.1510069 2 18.3852 0.12041
58738.1541088 2 18.6561 0.112156
58738.1522454 2 18.5038 0.110543
58737.2928588 2 18.6091 0.106803
58736.2799074 2 18.6192 0.0980804
58736.2793866 2 19.0211 0.150157
58735.2702083 2 18.7271 0.0995899
58735.2696991 2 18.7835 0.095899
58734.2716204 2 18.7679 0.130264
