ZTF19abwamby 0.050000 II
58761.1781944 1 19.2922 0.181138
58760.1791782 1 19.242 0.163055
58754.1780324 1 19.0268 0.145065
58751.1783681 1 18.8873 0.133994
58750.1807292 1 18.9026 0.143486
58749.1804282 1 18.8727 0.117846
58748.1789005 1 18.7616 0.128012
58747.1797917 1 18.8162 0.139681
58746.204375 1 18.7881 0.139303
58745.1798958 1 18.7178 0.107312
58744.1797917 1 18.678 0.120199
58741.1802199 1 18.5072 0.144611
58740.1833333 1 18.5143 0.14637
58739.1786574 1 18.3965 0.118577
58738.1797569 1 18.4622 0.0991179
