ZTF19abwamby 0.050000 II
58775.1386806 2 19.0483 0.0965205
58774.1389583 2 19.0587 0.149093
58772.1382755 2 19.0116 0.170467
58771.1380903 2 18.9916 0.135064
58770.1381134 2 18.9798 0.126221
58768.1370023 2 18.8835 0.14177
58767.136794 2 19.1375 0.266828
58766.1365972 2 18.9127 0.128585
58765.1363773 2 18.8961 0.107123
58764.1361806 2 18.9892 0.125658
58763.1509028 2 18.9145 0.119881
58762.1496412 2 18.8535 0.10222
58761.149919 2 18.8857 0.109572
58760.1509375 2 18.9751 0.122354
58758.1584606 2 18.8883 0.123487
58754.1495255 2 18.7862 0.0880563
58751.1499074 2 18.7217 0.119627
58750.1522569 2 18.8566 0.110783
58749.1505787 2 18.784 0.0815324
58748.1493866 2 18.7154 0.0978514
58747.1503819 2 18.7474 0.101806
58746.1505208 2 18.6871 0.0757343
58745.1507639 2 18.6278 0.0755473
58744.1507292 2 18.6605 0.0714846
58743.1518056 2 18.6662 0.0920551
58741.1502431 2 18.5907 0.0879944
58740.1502083 2 18.6441 0.144086
58739.1500579 2 18.7604 0.137629
58738.1498032 2 18.5433 0.123312
