ZTF19abwaohs 0.070000 Ia
58782.1707176 1 20.4726 0.291238
58779.1724074 1 20.1424 0.200921
58778.172581 1 20.1116 0.192153
58777.1723843 1 20.1193 0.267695
58776.1719329 1 19.9555 0.164374
58775.1726968 1 19.8225 0.160368
58774.1726042 1 19.8413 0.198397
58773.172662 1 19.7219 0.261082
58772.1740509 1 19.5101 0.238066
58771.1736921 1 19.4869 0.223398
58770.1734606 1 19.4287 0.213387
58768.1734838 1 19.4946 0.2277
58767.1728819 1 19.1488 0.262425
58766.1753819 1 19.2342 0.140472
58765.1768171 1 19.1202 0.141167
58764.1761227 1 19.0804 0.12604
58763.1853125 1 18.8831 0.126526
58762.1839699 1 18.7968 0.0964506
58761.1847917 1 18.7309 0.0926505
58760.1857755 1 18.6176 0.0839217
58758.2013773 1 18.5781 0.0816262
58754.1846181 1 18.254 0.0829732
58751.1849421 1 18.0796 0.0769076
58750.1873148 1 18.0009 0.068953
58749.1870255 1 18.0082 0.065834
58748.1854977 1 18.045 0.095316
58747.1863773 1 17.9437 0.062826
58746.2109722 1 17.93 0.0635606
58745.1864931 1 17.9342 0.0699534
58744.1863773 1 17.9221 0.0655457
58743.1873843 1 17.965 0.071806
58741.1868056 1 17.9849 0.0771809
58740.1899421 1 18.0125 0.0774624
58739.190162 1 18.086 0.08063
58738.1911227 1 18.1794 0.0808903
58737.313287 1 18.2476 0.131914
58736.3003935 1 18.3832 0.133165
58735.2918866 1 18.4857 0.0838001
58734.2932986 1 18.6233 0.0879164
58733.2920602 1 18.814 0.118595
58732.2927315 1 19.0966 0.0948651
58730.294456 1 19.747 0.155428
58727.3171644 1 20.751 0.296679
