ZTF19abwouqp 0.065000 Ia
58764.3574537 1 19.9841 0.18125
58763.2023727 1 19.876 0.171141
58762.2008912 1 19.6995 0.179841
58761.2016551 1 19.8673 0.168474
58760.2025926 1 20.0065 0.16707
58754.2010648 1 19.2153 0.0915901
58751.2012616 1 18.9425 0.0872611
58750.2036343 1 18.8529 0.109429
58749.2032755 1 18.7648 0.075645
58748.2014352 1 18.7434 0.0867647
58747.2025579 1 18.7304 0.067836
58745.2025926 1 18.5907 0.074723
58744.2024421 1 18.6172 0.0798291
58743.2034144 1 18.5049 0.126985
58741.2027778 1 18.424 0.131111
58739.2061227 1 18.4568 0.111499
58738.2070718 1 18.6301 0.143445
58736.4567708 1 18.801 0.077779
58733.3742245 1 19.2268 0.0961201
58730.3288194 1 20.0277 0.182296
