ZTF19abxfhrq 0.047429 Ia
58785.1006481 2 19.5321 0.171919
58779.0912963 2 19.7928 0.22815
58770.201713 2 18.9356 0.168834
58770.1975 2 18.9362 0.20748
58767.1207986 2 18.567 0.149152
58761.1410648 2 18.2727 0.0699492
58754.1369097 2 18.1506 0.086438
58751.1434028 2 17.8898 0.0681735
58748.1442245 2 17.6325 0.0663009
58745.1187616 2 17.5723 0.0609887
58740.266713 2 17.6839 0.0610209
58737.2840162 2 18.222 0.0782464
58736.2693866 2 18.4012 0.105224
58735.2596875 2 18.6777 0.101989
58734.2610069 2 19.1215 0.160645
58733.259294 2 19.4254 0.15794
58732.2596991 2 19.9772 0.214905
