ZTF19abxfunp 0.038000 Ia
58793.0836921 2 19.3141 0.207016
58790.1323264 2 19.1531 0.135495
58785.0977315 2 19.1675 0.154421
58779.0948032 2 18.7393 0.147108
58775.1005903 2 18.3915 0.0973948
58769.1118171 2 18.1406 0.0798688
58763.2546644 2 18.0107 0.0752483
58760.265787 2 17.9112 0.0692375
58754.1424769 2 17.5388 0.0532464
58749.2626968 2 17.2948 0.0519232
58745.3392361 2 17.2757 0.0563935
58737.2849537 2 17.8718 0.078913
58736.2703356 2 17.9928 0.0740782
58735.2606366 2 18.3047 0.0756046
58734.2619444 2 18.5277 0.119446
58733.2602315 2 18.9379 0.100987
58732.2606366 2 19.6135 0.196974
