ZTF19abxtdgh 0.047696 Ia
58864.1398148 1 20.7868 0.265755
58861.0983333 1 20.5043 0.299068
58849.1015278 1 20.7933 0.337753
58836.1314236 1 20.8536 0.337698
58830.1273032 1 19.7367 0.293576
58788.3581829 1 20.3435 0.2589
58769.4858102 1 19.2231 0.244582
58766.4228819 1 18.8137 0.119997
58763.4103819 1 18.5991 0.103294
58759.400625 1 18.2521 0.0612388
58756.4148032 1 17.8818 0.072697
58749.3236574 1 17.6607 0.0645654
58746.3918056 1 17.7091 0.0653683
58742.5071644 1 17.8647 0.0939987
58736.4783681 1 18.9311 0.0931328
