ZTF19abxvtmn 0.052000 II
58876.2863657 2 20.336 0.173034
58875.286088 2 20.5722 0.295369
58874.2789352 2 20.3973 0.241419
58874.2775694 2 20.3789 0.271406
58873.2821644 2 20.6348 0.238403
58873.2285764 2 20.4264 0.2231
58872.3051273 2 20.2349 0.262524
58871.3088079 2 20.6508 0.327609
58871.2698495 2 20.4623 0.318116
58867.3482176 2 20.3679 0.222146
58864.2384259 2 20.6064 0.213871
58856.3027662 2 20.2241 0.282485
58852.422581 2 20.7246 0.217889
58849.4369907 2 20.3735 0.226183
58846.477419 2 20.6854 0.280989
58846.4465509 2 20.4915 0.255541
58836.4898727 2 20.2307 0.241873
58806.5472454 2 19.3211 0.145584
58804.531713 2 19.3162 0.159303
58799.3773264 2 18.9714 0.141144
58794.5409491 2 18.9064 0.0986665
58794.5404861 2 18.9588 0.073476
58791.5109722 2 18.9357 0.0887029
58791.5067708 2 19.0739 0.0985563
58791.4985995 2 18.9601 0.093219
58788.5389815 2 18.9332 0.0983135
58788.5366782 2 18.935 0.106956
58785.4962616 2 18.8434 0.0930782
58784.5353009 2 18.7874 0.201887
58781.5067824 2 18.8866 0.170165
58778.496794 2 18.9295 0.140294
58776.5042824 2 18.8726 0.119897
58769.473287 2 18.7866 0.0918467
58769.4728125 2 18.8323 0.142235
58766.5320833 2 18.8013 0.103711
58766.5316204 2 18.8321 0.0825227
58759.5094329 2 18.775 0.073318
58756.5146296 2 18.9249 0.090804
58748.495 2 18.8175 0.087622
58748.4922917 2 18.7627 0.104693
58745.4892245 2 18.8055 0.115686
58745.4874074 2 18.82 0.138098
58739.4684375 2 18.889 0.206503
58736.5087847 2 18.818 0.0906908
58733.5109838 2 19.0024 0.114631
