ZTF19abyjjxp 0.040000 Ia
58812.3078472 2 19.8131 0.178745
58805.4749074 2 19.5642 0.170508
58799.4641435 2 19.3813 0.190656
58793.4819907 2 19.3029 0.108365
58790.4840741 2 19.0127 0.105081
58787.524919 2 18.9366 0.111642
58784.5194213 2 18.776 0.203997
58781.5038773 2 18.7423 0.13011
58778.4836806 2 18.5913 0.133366
58769.4791898 2 17.8667 0.0558904
58766.5270255 2 17.7124 0.0451802
58756.5196181 2 17.4 0.0410192
58750.5217361 2 16.9227 0.0419408
58747.4777894 2 16.8817 0.037191
58744.4778241 2 16.9071 0.0420042
58741.4636227 2 17.0924 0.0574229
58736.5151042 2 18.1021 0.0633286
