ZTF19abztknu 0.053500 Ib
58880.1631134 2 20.1674 0.266113
58874.1423611 2 20.1101 0.227119
58873.1818519 2 20.0631 0.143071
58867.1235069 2 20.0414 0.334528
58861.1537384 2 20.1933 0.21816
58860.1581597 2 20.0097 0.205734
58859.1744097 2 19.8968 0.217203
58850.1458102 2 19.8616 0.166674
58849.1694444 2 20.0433 0.167698
58846.1322917 2 19.9706 0.205497
58836.0992014 2 19.7719 0.21308
58833.2709838 2 19.5475 0.178765
58833.2268056 2 19.6508 0.157473
58828.3136111 2 19.2595 0.180075
58819.2535648 2 19.3528 0.169447
58819.252662 2 19.0146 0.201874
58814.2045718 2 19.3612 0.127893
58814.2027315 2 19.2516 0.119878
58814.1929745 2 19.4526 0.116351
58812.2152546 2 19.272 0.117965
58812.2105903 2 19.2004 0.100264
58812.2011458 2 19.1459 0.091551
58811.3015278 2 19.2493 0.140179
58811.3005903 2 19.1443 0.130155
58806.2448148 2 19.0125 0.0820484
58806.2439005 2 19.0523 0.0838258
58805.3427778 2 19.1001 0.103456
58804.3519444 2 19.1385 0.132303
58804.24875 2 18.9854 0.112226
58804.2478356 2 19.0077 0.13395
58803.2969213 2 18.93 0.0881211
58798.3262269 2 18.8417 0.154096
58798.3257755 2 18.7596 0.126906
58797.3318634 2 18.8225 0.115217
58797.3309606 2 18.8098 0.109917
58795.3325926 2 18.8442 0.0763597
58795.3321296 2 18.7474 0.069679
58795.314213 2 18.8157 0.0920979
58794.3171991 2 18.7279 0.072524
58794.3162847 2 18.6526 0.080636
58793.3677199 2 18.7375 0.0681729
58793.366794 2 18.8337 0.07545
58792.3585764 2 18.8311 0.0887331
58792.3576505 2 18.7205 0.0894411
58791.3381366 2 18.6863 0.0745908
58791.3367477 2 18.6625 0.0745209
58789.2683449 2 18.64 0.0804508
58787.2751505 2 18.6123 0.0649918
58781.317419 2 18.187 0.161268
58777.2933102 2 18.3105 0.0694706
58774.314919 2 18.3243 0.0927366
58769.3582755 2 18.3047 0.0741746
58766.493044 2 18.3398 0.0731056
58763.3731944 2 18.3525 0.0516602
58759.3716319 2 18.4976 0.059763
58750.4672569 2 19.1727 0.106151
58747.4410185 2 19.6588 0.129384
