ZTF19abzulhk 0.054000 Ia
58793.2014815 1 20.2706 0.240046
58790.2596065 1 20.6075 0.246529
58789.1796991 1 20.6066 0.225415
58788.1792824 1 20.5441 0.245609
58787.1783565 1 20.3223 0.238022
58786.1883912 1 20.4351 0.198802
58785.1795949 1 20.2146 0.180178
58783.1798843 1 20.1823 0.186511
58782.178831 1 19.8877 0.138825
58781.18 1 19.7716 0.236233
58779.1805208 1 19.8292 0.119655
58778.1807176 1 19.7588 0.133434
58777.1805208 1 19.5949 0.120303
58776.1800579 1 19.4493 0.0893277
58775.1808333 1 19.3332 0.0912054
58774.1807292 1 19.2432 0.1015
58772.1821991 1 18.9935 0.117732
58771.1818171 1 19.0276 0.172825
58770.1815972 1 19.0029 0.172277
58768.1816204 1 18.7728 0.168353
58767.1810301 1 18.763 0.189967
58766.1835185 1 18.6145 0.0816059
58765.1849537 1 18.4888 0.0595879
58764.1842708 1 18.5232 0.0690995
58763.2034606 1 18.4444 0.0661915
58762.2019792 1 18.4581 0.0705767
58761.2027315 1 18.4293 0.0689501
58760.203669 1 18.4609 0.0596334
58754.2021181 1 18.8618 0.0858486
58751.2022917 1 19.2816 0.0948148
58750.2046644 1 19.5294 0.187036
58749.2043171 1 19.909 0.136922
58748.2024653 1 20.373 0.201785
58747.2035764 1 20.6357 0.196659
