ZTF19abzulhk 0.054000 Ia
58806.2215162 2 20.014 0.14857
58796.1109491 2 19.8578 0.255048
58793.1078009 2 19.4286 0.137059
58792.1595718 2 19.4453 0.120936
58790.1707523 2 19.193 0.150116
58790.1415162 2 19.2038 0.0967379
58789.2589699 2 19.1301 0.119523
58789.1529167 2 19.2272 0.0996522
58788.1525463 2 19.2408 0.118965
58787.1516551 2 19.0567 0.0959508
58786.159294 2 19.1366 0.0873662
58785.1523958 2 19.0638 0.100211
58783.1527546 2 19.0138 0.102282
58782.1515509 2 18.9524 0.0971387
58781.1524421 2 19.0469 0.121913
58778.1527431 2 18.8995 0.090071
58777.1525463 2 18.8222 0.0752758
58776.1521296 2 18.8968 0.071849
58775.1529051 2 18.8844 0.0627242
58774.1527894 2 18.8065 0.090758
58773.1528819 2 18.7355 0.125629
58772.1542593 2 18.6825 0.0750631
58771.1539352 2 18.4223 0.082564
58770.1537153 2 18.4775 0.0902784
58769.1536458 2 18.5417 0.0870834
58768.15375 2 18.4021 0.0943177
58767.1531713 2 18.3187 0.0950081
58766.1519444 2 18.32 0.0709806
58765.1533102 2 18.2612 0.0564255
58764.1526852 2 18.2765 0.05121
58763.1749537 2 18.2702 0.0536926
58762.1736111 2 18.262 0.0740843
58761.1738542 2 18.3198 0.0567903
58760.1748264 2 18.3142 0.0534695
58758.1824074 2 18.3284 0.0625927
58754.1731713 2 18.7357 0.0618292
58751.1734722 2 19.1284 0.10965
58750.1758449 2 19.5395 0.146722
58749.1755208 2 19.6753 0.159315
58747.1748727 2 20.3929 0.207953
