ZTF19abzzuyl 0.029000 II
58836.4777431 2 19.5348 0.130996
58830.4442477 2 19.427 0.170372
58830.4424421 2 19.5048 0.196747
58827.4532176 2 19.4469 0.170842
58827.4513889 2 19.6086 0.238017
58804.5450231 2 19.2147 0.16478
58803.4314236 2 19.0877 0.157604
58800.5287384 2 19.0405 0.199291
58798.5312963 2 19.133 0.17153
58797.5342361 2 19.0845 0.123461
58793.5208796 2 19.057 0.124139
58791.5021296 2 19.2415 0.105336
58790.5115046 2 19.1591 0.144545
58788.5275 2 19.0949 0.107905
58770.4964236 2 19.1254 0.182443
58770.4845486 2 19.1621 0.216708
58764.4957639 2 19.2026 0.139565
58761.5043519 2 18.9883 0.123928
58760.5158912 2 19.0468 0.145027
58758.5258681 2 18.8773 0.120045
58757.5080208 2 18.9036 0.129743
