ZTF19acaxcwg 0.037000 Ia
58838.0952431 2 19.5552 0.124181
58831.0866319 2 19.5277 0.134268
58828.1291088 2 19.2012 0.195438
58819.1048843 2 19.0531 0.204332
58814.1479051 2 18.8931 0.179281
58811.144838 2 18.8146 0.0765169
58806.2270486 2 18.5012 0.0670084
58803.2529745 2 18.1449 0.148801
58801.2671644 2 18.3042 0.0803065
58800.2749306 2 18.0914 0.064343
58799.2141782 2 18.0922 0.0851317
58797.1110532 2 18.0037 0.0633939
58794.1208912 2 17.9357 0.0623936
58792.1790509 2 17.9569 0.0715059
58791.1096296 2 17.9857 0.0493229
58790.1462153 2 17.9862 0.0546633
58788.2134838 2 18.0085 0.0732062
58785.244919 2 17.9255 0.0512096
58781.245463 2 17.7993 0.0509519
58777.2044097 2 17.5164 0.0493896
58774.1974537 2 17.3211 0.041151
58771.2691667 2 17.1888 0.0401768
58767.206169 2 17.1628 0.063378
58764.4131597 2 17.2103 0.0496962
58763.173912 2 17.2704 0.0502327
58762.1725694 2 17.2979 0.0395841
58761.1728241 2 17.3721 0.0443128
58760.1737963 2 17.4487 0.0414552
58758.1813773 2 17.6111 0.0399914
58754.1721644 2 18.5322 0.0733628
58751.1724653 2 20.1197 0.252333
