ZTF19acbpxwt 0.070000 Ia
58795.0804514 2 19.0937 0.213654
58795.08 2 19.1506 0.161028
58790.1128935 2 18.9235 0.164619
58789.1396759 2 18.9759 0.195158
58789.1392245 2 18.9918 0.158883
58788.139294 2 18.8812 0.138949
58788.1388426 2 18.8908 0.137055
58787.1384028 2 18.9105 0.205956
58787.1379398 2 18.8708 0.189923
58786.1460417 2 18.901 0.138179
58786.1455903 2 18.8062 0.174948
58785.1391319 2 18.7594 0.148778
58785.1386806 2 18.8962 0.111576
58783.1394907 2 18.8159 0.146699
58783.1390394 2 18.7139 0.108675
58782.138287 2 18.8687 0.13578
58782.1378356 2 18.7408 0.104524
58781.1391782 2 18.8508 0.269829
58781.1387269 2 18.8564 0.229935
58779.1388194 2 18.6504 0.108827
58778.1394676 2 18.3813 0.0875007
58778.1390162 2 18.5824 0.089214
58777.1392708 2 18.4192 0.143784
58777.1388194 2 18.5785 0.122165
58776.1388657 2 18.3629 0.105729
58776.1384144 2 18.3494 0.085339
58775.1396412 2 18.3272 0.12386
58775.1391898 2 18.3204 0.0766836
58774.1399074 2 18.15 0.0947203
58774.139456 2 18.2201 0.0895999
58773.1391667 2 18.2222 0.179997
58772.1409838 2 18.2047 0.110622
58772.1405324 2 18.1281 0.078385
58771.1390394 2 18.1158 0.0939316
58771.138588 2 18.0164 0.0840403
58770.1390625 2 18.0428 0.108908
58770.1386111 2 18.1135 0.0759046
58769.1392593 2 17.9836 0.105582
58769.1388079 2 18.0212 0.0916504
58768.1379514 2 18.0242 0.132027
58768.1375 2 18.1405 0.087645
58767.1377431 2 18.1752 0.136519
58767.1372917 2 18.136 0.137006
58766.1375463 2 18.1529 0.117317
58766.1370949 2 18.0903 0.11358
58765.1390278 2 18.1243 0.109319
58765.1385764 2 18.2057 0.0612505
58764.1371412 2 18.1972 0.101584
58764.1366898 2 18.2209 0.0824664
58763.1518519 2 18.374 0.105774
58763.1514005 2 18.3719 0.0766045
58762.1505903 2 18.4855 0.0938716
58762.1501389 2 18.4893 0.0738263
58761.1508681 2 18.5909 0.117144
58761.1504167 2 18.6046 0.0935341
58760.1518866 2 18.7116 0.113293
58760.1514352 2 18.757 0.1003
58758.1594213 2 19.3004 0.211683
58758.1589699 2 19.0324 0.132709
