ZTF19acbpzir 0.066000 Ia
58812.175544 2 19.7505 0.171303
58805.214537 2 19.4715 0.134069
58805.0808565 2 19.1836 0.203618
58798.2334144 2 19.0784 0.178235
58797.1233218 2 19.0581 0.162819
58797.0951736 2 18.9729 0.154349
58796.1025 2 19.0431 0.125812
58795.0991319 2 19.0414 0.153023
58795.0959491 2 18.7696 0.107706
58794.1109722 2 18.7743 0.0757291
58793.0988889 2 18.8023 0.128997
58793.0927778 2 18.6851 0.105992
58792.1156019 2 18.7449 0.0977579
58792.1146296 2 18.7699 0.127748
58791.0906366 2 18.7512 0.103314
58791.0891898 2 18.7355 0.101795
58790.1801852 2 18.6433 0.107211
58790.1143056 2 18.7199 0.100096
58789.2543056 2 18.7393 0.0924065
58789.1429514 2 18.5939 0.116435
58788.1425694 2 18.5903 0.114325
58787.1416782 2 18.5044 0.10413
58786.1493171 2 18.6409 0.124992
58785.1424074 2 18.552 0.0821844
58783.1427662 2 18.5224 0.0919313
58782.1415625 2 18.4622 0.0806804
58781.1424537 2 18.4016 0.119265
58779.2123843 2 18.2846 0.0822717
58779.1425463 2 18.365 0.103881
58778.1427546 2 18.2474 0.0656952
58777.1425463 2 18.1843 0.0725809
58776.1993981 2 18.0559 0.062177
58776.1421412 2 18.2209 0.0603724
58775.1429167 2 18.0401 0.055941
58774.1431944 2 18.0747 0.0569856
58773.1976157 2 17.9462 0.237217
58773.1428935 2 18.0197 0.0729306
58772.1442593 2 17.9225 0.0671815
58771.1439583 2 17.9963 0.0760274
58770.3141667 2 17.8526 0.0582104
58770.2503472 2 17.9534 0.0827848
58770.1423495 2 17.999 0.0711203
58769.1425463 2 17.974 0.0656671
58768.1428704 2 18.0087 0.0655539
58766.1408449 2 18.031 0.0733386
58765.1423032 2 18.1049 0.0693684
58764.141875 2 18.1291 0.0613587
58763.1551273 2 18.1785 0.0637886
58762.1538657 2 18.2946 0.0678597
58761.1541435 2 18.3129 0.0889364
58760.155162 2 18.5251 0.0702838
58759.1873148 2 18.5389 0.0799288
58758.2883102 2 18.7551 0.0927061
58758.1626968 2 18.9446 0.0946988
