ZTF19acbwaah 0.030000 Ia
58852.4419329 2 20.9707 0.395977
58846.4619213 2 20.851 0.306838
58846.4546759 2 20.4186 0.237374
58846.4234375 2 20.6606 0.349106
58836.5050116 2 20.3481 0.225318
58828.4304745 2 19.8471 0.239184
58798.5372569 2 19.3355 0.159128
58792.5084028 2 19.1423 0.109861
58792.5079398 2 19.0934 0.129313
58789.5281829 2 19.1727 0.187093
58789.5277315 2 19.0177 0.125006
58785.5148032 2 18.8445 0.115666
58784.5296181 2 18.7889 0.262021
58776.5156944 2 18.4401 0.114947
58776.5143403 2 18.5079 0.107479
58770.4941551 2 18.2913 0.156996
