ZTF19acbwhqc 0.076000 Ia
58781.1103472 1 19.425 0.195458
58779.1126157 1 19.4186 0.184845
58777.1104051 1 19.2377 0.159958
58777.1099537 1 19.063 0.127596
58775.1126042 1 19.0052 0.107859
58774.1238773 1 19.0485 0.16141
58774.1234259 1 19.0667 0.171708
58771.1097222 1 19.031 0.151072
58771.1092593 1 18.8728 0.138733
58771.1088079 1 18.9283 0.139398
58765.1015278 1 18.8482 0.118414
58765.100625 1 18.8455 0.125489
58764.1963194 1 18.9367 0.209782
58758.1293981 1 19.6031 0.151992
58758.1275926 1 19.728 0.155626
