ZTF19acchaza 0.035000 II
58814.2083333 2 19.5371 0.13422
58814.2013542 2 19.4834 0.181263
58812.1978472 2 19.4339 0.12763
58812.191713 2 19.5609 0.197078
58811.3034144 2 19.4213 0.192226
58806.2406019 2 19.2491 0.117922
58804.2450694 2 19.1681 0.156636
58803.266169 2 19.1036 0.145568
58801.2958796 2 19.0208 0.174565
58801.2734259 2 19.2348 0.239283
58799.2662963 2 19.1606 0.15515
58799.2570139 2 19.366 0.213148
58798.2431366 2 19.1618 0.150339
58798.2397917 2 19.2499 0.195509
58796.3033681 2 19.0318 0.146999
58795.2964236 2 19.1169 0.106866
58794.3115162 2 19.0696 0.113513
58793.3723611 2 19.0087 0.121259
58792.3632523 2 19.0247 0.163088
58791.3607986 2 18.9895 0.125984
58789.2795255 2 18.9985 0.113387
58787.2741435 2 18.9896 0.0949857
58781.3233912 2 18.9401 0.17685
58778.3257639 2 18.8524 0.0894457
58775.2841667 2 18.8139 0.0996626
58772.3701505 2 18.5811 0.214078
58769.4583681 2 18.3592 0.119881
58766.5181713 2 18.4698 0.0748192
58763.3694097 2 18.4996 0.0876099
58759.3692014 2 18.9115 0.0921331
