ZTF19acchink 0.085980 Ia
58791.3353704 2 19.4968 0.167519
58788.2541667 2 19.3591 0.182123
58787.2723148 2 19.3447 0.17037
58781.3150926 2 18.8721 0.178844
58781.3146412 2 19.0681 0.178043
58778.3750926 2 18.7843 0.124072
58775.3145255 2 18.8405 0.0941675
58775.3140625 2 18.8602 0.125294
58772.3574884 2 18.8086 0.30221
58769.3568287 2 18.662 0.171726
58766.4898264 2 18.9926 0.12542
58766.489375 2 18.9593 0.130382
58763.356088 2 19.2006 0.10918
58763.3348032 2 19.2388 0.121239
58759.3743866 2 20.0079 0.177777
