ZTF19acfvuxk 0.105000 Ia
58793.3705208 2 20.27 0.213181
58793.3690972 2 20.0044 0.188995
58792.3614236 2 20.3393 0.243497
58791.3445602 2 20.2012 0.237167
58789.2706481 2 20.0518 0.239996
58789.2664699 2 20.0523 0.240208
58788.2796644 2 20.0542 0.221167
58785.137581 2 19.9007 0.201037
58783.1379398 2 19.7611 0.233288
58782.1367361 2 19.9919 0.234394
58781.2928356 2 19.8379 0.185833
58779.1377199 2 19.7645 0.189678
58778.3308912 2 19.7735 0.153193
58778.1379167 2 19.8468 0.185358
58777.1377199 2 19.8447 0.279172
58776.1373148 2 19.7803 0.145791
58775.1948032 2 20.1014 0.241313
58775.1375116 2 19.8551 0.193566
